Road assets,Highways,Rural highways,Arterial roads,Collector roads,Local roads,Lanes and alleys,Sidewalks
Canada,30,23,32,28,29,31,32
Newfoundland and Labrador,..,..,25,25,23,30,27
Prince Edward Island,..,..,25,25,24,..,35
Nova Scotia,20,..,20,22,32,..,29
New Brunswick,15,..,..,23,32,..,32
Quebec,41,19,28,23,25,24,27
Ontario,24,29,39,39,36,35,42
Manitoba,50,..,55,39,32,60,35
Saskatchewan,..,35,36,37,37,30,21
Alberta,35,20,28,34,34,66,34
British Columbia,..,..,35,34,40,41,47
Yukon,..,..,..,..,20,50,50
Northwest Territories,..,..,..,..,12,..,..
Nunavut,..,..,..,..,..,..,..
